Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
18.04%,0.00%,Chrome_InProcGp,27744,27829,/vendor/lib64/egl/libEGL_emulation.so,eglCreateSyncKHR,1549750000,250000,cpu-clock
18.02%,0.01%,Chrome_InProcGp,27744,27829,/vendor/lib64/egl/libEGL_emulation.so,"createNativeSync(unsigned int, int const*, int, bool, int, int*)",1547750000,500000,cpu-clock
18.01%,0.01%,Chrome_InProcGp,27744,27829,/vendor/lib64/lib_renderControl_enc.so,"(anonymous namespace)::rcCreateSyncKHR_enc(void*, unsigned int, int*, unsigned int, int, unsigned long*, unsigned long*)",1547250000,500000,cpu-clock
15.29%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+684cee4],1313000000,0,cpu-clock
15.27%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+685a4bc],1311250000,0,cpu-clock
15.26%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5ab468c],1310500000,0,cpu-clock
15.25%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a1538c],1310000000,0,cpu-clock
15.25%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a16f38],1309500000,0,cpu-clock
11.40%,0.02%,RenderThread,27744,27777,/system/lib64/libhwui.so,"android::uirenderer::skiapipeline::SkiaOpenGLPipeline::draw(android::uirenderer::renderthread::Frame const&, SkRect const&, SkRect const&, android::uirenderer::LightGeometry const&, android::uirenderer::LayerUpdateQueue*, android::uirenderer::Rect const&, bool, android::uirenderer::LightInfo const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode>>> const&, android::uirenderer::FrameInfoVisualizer*, android::uirenderer::renderthread::HardwareBufferRenderParams const&, std::__1::mutex&)",979000000,1500000,cpu-clock
11.30%,0.01%,com.professionballarena.game,27744,27744,[JIT app cache],android.os.Looper.dispatchMessage,970250000,1000000,cpu-clock
11.28%,0.02%,com.professionballarena.game,27744,27744,[JIT app cache],android.os.Handler.dispatchMessage,969000000,2000000,cpu-clock
11.21%,0.02%,com.professionballarena.game,27744,27744,[JIT app cache],android.os.Handler.handleCallback,963250000,1500000,cpu-clock
