Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
0.04%     Firebase Blocki               27744  27878  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __connect
0.04%     RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             skgpu::ganesh::ClipStack::clipRect(SkMatrix const&, SkRect const&, GrAA, SkClipOp)
0.04%     binder:27744_7                27744  27894  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::CheckMethodArguments(art::JavaVMExt*, art::ArtMethod*, unsigned int*) (.__uniq.245181933781456475607640333933569312899.llvm.16831291555498695779)
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::StackVisitor::GetCurrentQuickFrameInfo() const
0.04%     com.professionballarena.game  27744  27744  /system/lib64/libandroid_runtime.so                                                                                                                                  android::android_os_MessageQueue_nativePollOnce(_JNIEnv*, _jobject*, long, int)
0.04%     com.professionballarena.game  27744  27744  /system/lib64/libbinder.so                                                                                                                                           android::IPCThreadState::transact(int, unsigned int, android::Parcel const&, android::Parcel*, unsigned int)
0.04%     com.professionballarena.game  27744  27744  /system/lib64/libtracing_perfetto.so                                                                                                                                 tracing_perfetto::isTagEnabled(unsigned long)
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      java.util.concurrent.atomic.AtomicLong.decrementAndGet
0.03%     Chrome_IOThread               27744  27803  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5075e08]
0.03%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __errno
0.03%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       pthread_mutex_unlock
0.03%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.03%     Jit thread pool               27744  27751  /apex/com.android.art/lib64/libart.so                                                                                                                                art::jit::JitCodeCache::NotifyCompilationOf(art::ArtMethod*, art::Thread*, art::CompilationKind, bool)
0.03%     RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+4ff5f94]
