Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children  Self    Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
8.36%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+28c4130]
8.32%     0.00%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::SkiaOpenGLPipeline::swapBuffers(android::uirenderer::renderthread::Frame const&, android::uirenderer::renderthread::IRenderPipeline::DrawResult&, SkRect const&, android::uirenderer::FrameInfo*, bool*)
8.31%     0.01%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::renderthread::EglManager::swapBuffers(android::uirenderer::renderthread::Frame const&, SkRect const&)
8.30%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+6091a3c]
8.29%     0.01%   RenderThread                  27744  27777  /system/lib64/libEGL.so                                                                                                                                              eglSwapBuffersWithDamageKHR
8.25%     0.03%   RenderThread                  27744  27777  /system/lib64/libEGL.so                                                                                                                                              android::eglSwapBuffersWithDamageKHRImpl(void*, void*, int const*, int)
8.20%     0.02%   RenderThread                  27744  27777  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                qemu_pipe_read
8.18%     8.18%   RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
8.17%     0.02%   RenderThread                  27744  27777  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                eglSwapBuffers
8.15%     0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5b0f3b4]
8.11%     0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5ab1a98]
8.11%     0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5b0f548]
8.11%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+69504c4]
7.86%     0.02%   RenderThread                  27744  27777  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                egl_window_surface_t::swapBuffers()
7.79%     0.01%   RenderThread                  27744  27777  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                createNativeSync(unsigned int, int const*, int, bool, int, int*)
7.33%     0.01%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.MessageQueue.next
7.31%     0.05%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.MessageQueue.nextLegacy
7.28%     0.01%   RenderThread                  27744  27777  /vendor/lib64/lib_renderControl_enc.so                                                                                                                               (anonymous namespace)::rcCreateSyncKHR_enc(void*, unsigned int, int*, unsigned int, int, unsigned long*, unsigned long*)
6.67%     0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5b19394]
